Name;SRR341593;SRR341613;SRR341592;SRR341603;SRR341635;SRR341621;SRR341647;SRR341616;SRR341584;SRR341623;SRR341591;SRR341625;SRR341634;SRR341633;SRR341639;SRR341631;SRR341649;SRR341596;SRR341588;SRR341652;SRR341626;SRR341605;SRR341642;SRR341604;SRR341630;SRR341609;SRR341653;SRR341611;SRR341615;SRR341618;SRR341594;SRR341637;SRR341648;SRR341607;SRR341598;SRR341624;SRR341585;SRR341619;SRR341641;SRR341595;SRR341597;SRR341586;SRR341600;SRR341602;SRR341629;SRR341651;SRR341636;SRR341645;SRR341646;SRR341608;SRR341640;SRR341627;SRR341612;SRR341632;SRR341654;SRR341610;SRR341628;SRR341599;SRR341614;SRR341587;SRR341617;SRR341601;SRR341589;SRR341650;SRR341622;SRR341620;SRR341638;SRR341606;SRR341643;SRR341590;SRR341644
Butyrate-producing bacterium SS3/4, complete genome;0.00547388965488;0.00169724116896;0.00325636590988;0.00071447160929;0.00274701695119;0.00436476812825;0.0196203475963;0.00422110997777;0.0129756467113;0.00225851086377;0.00131645648729;0.00752548652696;0.00636880944253;0.00986787955952;0.00441045383149;0.00597338715529;0.00750665253074;0.00599446767168;5.48248166173e-05;0.00718534124804;0.000193265545311;0.00307179122942;0.00611120634318;0.00500560131202;0.00231061250893;0.00130882066542;0.00736091374442;0.00194698313308;0.00113984752467;0.00411978056613;0.0135057711478;0.00602217990799;0.0066701502244;5.26018736185e-05;0.00105154772934;0.000157132979638;0.00221038429538;0.00538109286995;0.00136984658243;0.00399021321272;0.0133172801645;0.00132819703455;0.00131172489339;0.000114260104528;0.0143441333358;0.00132487342858;0.00407077941281;0.0126586253016;0.000577893706654;0.00199922066503;3.93125123681e-05;0.00232262609288;0.00700437673415;0.00113832182318;9.7024778773e-05;0.00467378552032;0.00556475221741;0.00136255705602;0.0020372690816;0.000513143379482;0.000570263236168;0.00117033351228;0.00714746814006;0.00357841143092;0.00266752799584;0.00590527312771;0.00350343917336;0.00405032463168;0.00600388708008;0.00467266680334;1.56050491756e-05
Ruminococcus sp. SR1/5 draft genome;0.00164490564366;0.000789308100794;0.000312191263433;0.00197362106574;0.00459661469729;0.000975337640093;0.00370627079644;0.00193739451541;0.000924368536678;0.00190023127361;0.00131707441845;0.00181450731345;0.0026154369702;0.00113955135199;0.00430382598554;0.00174676299102;0.000999811972658;0.00756704656451;0.000562449973118;0.0027307368556;6.38902513718e-05;0.000739511306207;0.000973150073615;0.00278653893955;0.00106164889627;0.00278046567038;0.00116751567598;0.00125073864124;0.000660082042367;0.00120789959211;0.00760312598413;0.00076189341235;0.00223201265369;0.000186348375741;0.00250670081912;0.000132504710811;0.00676104864863;0.00463253977257;0.00130634218542;0.0123810653961;0.00351030603695;0.00421780698619;0.000461428700914;0.00216584407132;0.00200235964564;0.000197151299305;0.000529520628722;0.00427392667004;0.000514953826729;0.00480204898557;0.000587760154304;0.000713627678097;0.00127958522352;0.00118196036016;0.000173057686997;0.000901823189517;0.00142905871735;0.00188674235549;0.00529460374283;0.000199166616211;0.000596670689225;0.000798852594661;0.00208101695569;0.00144739289837;0.000276193992641;0.0033222103494;0.000263483080567;0.00112946980121;0.00290860825047;0.00475227856384;0.000868191408186
Coprococcus sp. ART55/1 draft genome;0.000557012803252;3.24701023238e-05;2.00274831269e-05;3.56551728271e-05;0.00180225566969;0.00134298800772;0.000864048832334;6.05199492412e-05;0.000157679254917;6.63241369143e-05;2.68627824019e-06;0.00224330171819;0.00238034468686;9.71270335647e-06;0.000115167753784;0.00042131665356;0.000206340652266;0.000815250591955;7.1193852205e-07;0.000115100055717;1.99910349328e-05;0.000137492776388;0.000147055354549;5.81457635446e-05;6.49433508412e-05;0.00115501395746;4.39838871303e-05;4.1806755215e-06;4.12680741653e-05;0.00028913044124;0.00258315823133;0.00132314482203;0.0284397146826;1.02547178689e-08;3.30793368362e-05;7.78544281279e-06;0.0587836283884;0.00101782671654;0.00420421102056;9.30410621212e-05;3.70623178812e-06;2.00400023021e-05;7.52932180186e-07;0.000112368300387;8.72819649622e-05;3.49268931377e-05;2.33814720597e-05;0.00165413288642;1.97737711191e-05;0.000270462234332;1.82822503574e-06;0.000267648379531;1.74307075399e-05;1.5698140632e-05;5.28961366364e-06;4.66066369778e-06;9.20443198366e-05;0.000240103208471;0.000100636512932;1.38027183506e-05;1.17708741504e-05;3.5836673378e-05;0.000818124040613;6.83984567632e-05;2.75722500848e-05;0.000573054272559;3.46524313481e-06;0.00015626462052;0.000376942053703;0.136830860859;5.79778244898e-06
Butyrate-producing bacterium SSC/2, complete genome;0.000277501602486;0.00322362315865;0.0157030221076;0.00439524795842;0.00201913734996;0.00137808399634;0.00906042252211;0.00543289676128;0.00236340046123;0.00760173086573;0.00115436148217;0.00128411145761;0.00199756921074;0.0038025002584;0.0139865894075;0.00160114328631;0.0283007010856;0.0159384545242;0.000141326618991;0.0259656104397;3.53408247354e-05;0.0172777634815;0.0286994265707;7.37719166348e-05;0.000644338756094;0.000898898577019;0.014393274573;0.00092807359576;0.000358503594967;0.00579525227596;0.00981592550437;0.0105565997547;0.00348223435659;2.34537372947e-05;0.000330960381985;4.3087895769e-05;0.117287568443;0.0123258051886;0.00184341567083;0.000646466450815;0.000546672877968;0.000851976420174;0.000102024190221;0.000294024134089;0.00497598337272;0.00623758866309;0.00126921204448;0.0387881041213;0.000411280293914;0.000701685869956;0.00164588761663;0.00364559297254;0.00142568917368;0.00645971805529;0.00218293622751;0.00612729822183;0.0101701722866;0.00213062441063;0.0174097192714;5.28935987375e-05;0.0135543347877;0.000837825124406;0.000967956968735;0.00612697672259;0.000907627664194;0.00814512225992;4.02642709771e-05;0.0127784965256;0.0078644998738;0.000734309860846;7.15912765078e-05
Butyrate-producing bacterium SM4/1, complete genome;8.52212013956e-05;2.78941578841e-05;3.73294881126e-06;3.33155002574e-06;5.77697696831e-05;0.000153193048884;0.000402373387945;3.99166471938e-05;0.000115381271964;0.000127040255969;0.000174812793706;0.000274283227787;6.89037116541e-05;0.00027450147371;3.26540181365e-05;0.000135187440103;5.20036254205e-05;0.000332996448928;8.11001280426e-05;2.08730437128e-05;3.29434180133e-05;7.86739729896e-05;2.7529162795e-05;4.8443516069e-05;1.47519173098e-05;0.00029259123022;1.50109199051e-06;0.000134620016548;0.000199731222368;0.000199544677583;0.000153045587425;4.58971514042e-05;3.85154069967e-06;2.72116392104e-10;6.73413808882e-05;2.29080503719e-07;4.32855356167e-05;4.53675745112e-05;8.83904498086e-05;0.00030292350619;2.4804635307e-05;7.15180579148e-05;6.8045224087e-07;6.14763582091e-06;0.000171407767275;6.22529221845e-05;0.000365177047582;0.000903948625564;3.43328637665e-05;0.00010076742989;1.92218706952e-05;3.46473206835e-06;9.04355056477e-05;3.84485621148e-05;3.51679332258e-06;3.11937505808e-06;2.32335437713e-05;0.000127023193352;0.000169950633745;1.23436275177e-07;2.88015048913e-05;9.10982639712e-05;2.30404327621e-05;1.36970605081e-05;6.06942268782e-07;0.000100540828139;2.12567759044e-05;5.29852036162e-06;0.000223014894599;0.00012973468822;2.15303058221e-05
Clostridium sp. SY8519 DNA, complete genome;5.74622684377e-05;6.56971590502e-05;8.59874677467e-06;1.89731801471e-05;0.000179602778412;3.26126543209e-05;0.000477613590353;3.43756680739e-05;5.81541075429e-05;0.000261348711673;5.83570648052e-06;5.82105942366e-05;0.000523112397821;6.25482254657e-05;1.87311483788e-05;6.90730889259e-05;0.000184389718166;9.8242135119e-05;2.33145802878e-08;3.76428020946e-05;3.82379189829e-07;3.28211121131e-05;4.82031443807e-07;1.55235265901e-06;0.000243392648948;5.33927885756e-05;3.98251242942e-05;1.389588348e-06;6.22024746671e-06;0.00119879032897;8.5221875367e-06;6.76138839553e-05;0.000203600045047;2.28738969454e-06;3.96249533882e-05;1.48097363041e-06;0.000297617453424;0.000374211404669;4.66763173007e-05;0.00040173089522;5.30441217735e-07;0.000120165604814;3.3489288352e-08;2.58380354023e-05;3.56734552513e-05;9.92644199603e-06;7.49322131354e-06;0.00157486458702;0.000640917422368;0.000441580680892;1.00551367173e-05;7.01719956026e-07;5.89868229826e-06;1.40763817215e-05;2.63774425599e-05;3.28900783652e-06;6.51352485856e-05;0.000767932859865;2.52931225483e-05;1.55954974573e-06;3.00718648308e-05;8.18991071486e-06;0.000328186748828;5.33260837077e-06;4.90085389326e-07;0.000173043480515;4.29443688111e-07;3.00857922307e-05;0.000295912208173;3.86490331637e-05;4.79148718303e-06
Enterococcus sp. 7L76 draft genome;2.28070967057e-05;3.59027098429e-06;1.25420691355e-07;5.70975156137e-08;9.76389218097e-05;1.04273577084e-05;4.61903354965e-06;3.58918515478e-05;4.80613820958e-05;6.85147441983e-05;2.11153242641e-05;5.80987014145e-06;0.000345285217354;2.10715928257e-05;4.01719519011e-05;1.74883025265e-07;1.91282444573e-05;0.000133331627355;5.3805439837e-07;3.57808647146e-05;3.47380356492e-07;1.49430785643e-06;9.95658655681e-05;4.0738797186e-05;3.02946324793e-05;1.68150999388e-06;6.25351131616e-07;7.96813578755e-06;9.29216696048e-07;4.75298296803e-05;2.05860245493e-05;7.90585130337e-05;4.78951653426e-06;4.50893196458e-07;3.50083877635e-07;3.87036302183e-06;0.000112530708916;3.23723351285e-06;8.18316981911e-06;3.11150466414e-05;6.22843689103e-05;3.40180439969e-05;5.72290056208e-07;2.22810952827e-05;0.000143562272451;9.32568635934e-06;3.17194253943e-05;2.16099348029e-05;1.51056661005e-06;2.13760040745e-07;4.87795721826e-06;1.9308677108e-06;1.1869034811e-05;9.12553356939e-06;1.05807089781e-05;8.03630770725e-07;1.92012526696e-06;0.000127120232484;1.74896317615e-06;1.04113859885e-05;2.32048717395e-05;2.31257123586e-06;4.03691541854e-06;1.14157083548e-05;1.28678890735e-05;7.84693181818e-05;3.54537291817e-08;1.31482827047e-05;8.34029223415e-06;2.21214378222e-05;6.28826012615e-07
Burkholderia sp. KJ006 chromosome 1, complete sequence;8.93922015708e-06;2.24071929587e-08;3.17557889748e-07;2.90662108107e-09;;;8.29950473038e-36;5.21529105102e-40;;1.9131725568e-20;4.35117601093e-08;8.05217853528e-14;3.9006847978e-24;2.48098358217e-37;5.30684042703e-41;;1.98057971875e-10;5.09761489322e-40;;3.96972311031e-09;;8.2940511974e-37;5.84797942213e-08;;;2.59790955547e-10;1.76269905597e-14;;1.21242815947e-25;;4.98650905195e-29;;4.47708914616e-15;;7.18350330718e-37;1.24006511489e-10;1.77367501167e-26;1.16940779474e-11;5.76538432944e-16;;1.25694492014e-08;5.56806099389e-20;;1.37324512771e-08;2.34848868603e-11;;1.64780342828e-26;2.52629161858e-08;;1.4666009121e-14;;;8.37930472059e-10;1.22797275867e-10;;6.41243718895e-07;;3.96775416604e-37;1.66406945991e-39;;1.09165755433e-39;;;1.36367395749e-12;1.81471503684e-10;7.3485698074e-39;;;6.2800039343e-36;5.5088227636e-12;
Streptococcus sp. I-P16, complete genome;5.91136659967e-06;8.14237436268e-05;9.07346110072e-06;6.84957434823e-05;0.000293314671643;0.000131539199399;0.000403568823341;8.25302148394e-05;1.67924126329e-06;5.9359155499e-05;0.000123143775475;0.000221125320647;0.000169506860638;0.000233067643159;2.65685975057e-05;0.000294412632276;0.000168465213866;0.00262429546752;4.94586820532e-05;0.000497088990057;1.99744073741e-06;5.98217251676e-07;2.54221796772e-05;0.00018555125419;0.000192979863698;3.19230913155e-13;8.1289087176e-05;7.9014622157e-05;4.17492453171e-05;0.00010785899858;5.08650184495e-05;5.97659040507e-06;5.10800533933e-06;1.17770376393e-06;7.92497483145e-06;4.12382934976e-05;0.0105463856345;0.00024701907307;2.29285726593e-05;6.59218750016e-05;6.87523768709e-05;6.56485223948e-08;7.4937175164e-06;1.29417389442e-06;0.000164402413573;2.53297896555e-05;1.9629360208e-05;0.000293359582818;3.53738118593e-05;9.64774452751e-05;2.74386914123e-05;1.07613463759e-11;4.90709584664e-06;7.08055921993e-05;8.16777519515e-05;2.24303462876e-05;1.67132196326e-06;0.00033776452788;1.46925947885e-05;1.02194062956e-06;3.19145765086e-05;3.54969620058e-05;0.00268412590099;5.30948855793e-05;7.57563125153e-06;1.86864948189e-05;6.73371610512e-07;1.77652458073e-05;4.81844940747e-05;1.13696310501e-05;7.69681205894e-06
Pseudoalteromonas sp. SM9913 chromosome II, complete sequence;3.55669399406e-06;6.55249381414e-07;4.25589726635e-06;3.07522829112e-05;1.44232624348e-07;1.47727945539e-06;1.49309648447e-05;2.82743198477e-07;6.04893294911e-07;1.15813452733e-08;6.49161694934e-07;1.59026938145e-06;1.91603855821e-06;4.94204513212e-06;1.7045506309e-08;1.67757640379e-05;7.55299101963e-05;1.25480499737e-06;1.6965102542e-05;0.000332364906691;4.98259859005e-07;5.2188573536e-05;4.77083631727e-07;7.18892109347e-05;2.09986476337e-05;0.000138480422493;3.93904120973e-06;2.46699675542e-05;2.23203102482e-05;9.89376826338e-07;6.60479443842e-10;4.28770207565e-08;3.50554014282e-07;2.58579723795e-07;4.81317286237e-07;2.3788501347e-06;9.21457306281e-07;9.70243366346e-06;3.06342463128e-08;5.00565719954e-08;1.24485463059e-05;1.1417144517e-05;9.44391368057e-09;1.30337915909e-06;3.74474367123e-08;3.35067388164e-05;1.09454400744e-07;3.07505852196e-06;9.39748483399e-07;1.82083395489e-05;4.4928380075e-06;1.10616587416e-06;1.67845716541e-07;6.64900236526e-06;;9.00861001317e-08;;3.38018011157e-11;1.42117856403e-06;2.10219036309e-06;8.20882477467e-06;9.30147543334e-07;2.35794365785e-06;7.34903877642e-05;4.00179202254e-06;1.46123250614e-05;1.20043763906e-09;3.84915357077e-07;2.1916633917e-05;3.31352959618e-08;5.12305739572e-09
