Name;ERR525778;ERR525774;ERR525745;ERR525752;ERR525740;ERR525749;ERR525736;ERR525762;ERR525756;ERR525758;ERR525766;ERR525770;ERR525732;ERR525724;ERR525719;ERR525715;ERR525728
Bacteroides fragilis;0.979724211582;0.125360198231;0.000553509110307;0.77025465384;0.00513341438096;0.00470510305759;0.00245212758623;0.116494913762;0.0110451912652;0.61077757368;0.00618238219638;0.0231189203308;0.0214360991491;0.971162936735;0.805996196804;0.000268703300655;0.000521023983207
Bacteroides dorei;0.0133092435272;0.0739661711138;0.00121724090672;5.37475667496e-05;8.56979142583e-06;0.0179368812888;0.0301119605539;0.0125407248337;0.617309527472;0.236089085678;0.0087783293568;0.00885351201492;0.0110183428234;0.00684423803958;0.000130909790817;0.000137909696306;0.000188003993853
Bacteroides thetaiotaomicron;0.00566691292161;0.00785635093758;0.000185713568493;0.000146941492813;1.16223496527e-05;0.0123373406901;0.0101121965604;0.0430769271606;0.00311682268568;0.00183854761991;0.000357030490817;0.00210900525985;0.0323140242618;0.00132918569425;0.00290518632297;3.35066710438e-05;0.000479376233047
Bacteroides vulgatus;0.000749802499409;0.0017331047921;4.65374144153e-05;0.00149724607932;5.66919956805e-05;0.524170188975;0.816089005183;0.324232725197;0.343025932996;0.00440358783131;0.000238807514135;0.024753809979;0.291863988099;0.0133600633706;0.00122583705504;0.000280662140519;0.0065229782736
Enterococcus faecalis;0.000318592478922;0.271568612456;7.90710183198e-19;3.91904140135e-08;0.00198630388173;3.93212950175e-07;0.0139942562453;1.6443431002e-06;0.00219411661665;0.0014502186093;0.841363731053;1.39530679102e-05;4.72205034324e-06;0.000282299136022;0.0426628745108;0.0175620518716;1.98878343518e-14
Bacteroides ovatus;0.000107449973183;0.000157051738113;0.00078230530584;0.0150896524662;1.43950276068e-05;0.183547653169;2.79682730562e-05;0.00558104594177;0.00378517534972;0.0855140397786;0.00259151023545;0.0484343320336;0.0240823899579;8.0779617357e-05;0.000104076102973;2.15501450853e-05;0.000319565975297
Staphylococcus epidermidis;6.44497133938e-05;0.0020283114674;0.0138398888756;0.0254725257794;0.679938186319;0.00319067347148;0.0160127473705;0.00347424763281;0.000562627751729;0.0025695066055;0.0209724971617;0.00836011033246;0.00270464159553;3.88140289799e-05;0.000421179931535;0.0893358930332;9.78678491476e-06
Bifidobacterium breve;2.37185331025e-05;0.000768102814874;3.76954450542e-05;3.12829475764e-05;6.50864688999e-05;0.000170357212309;2.32163927671e-06;1.0174091706e-06;1.39531827121e-05;0.00020422895024;6.73993856306e-05;1.49894572479e-06;0.000190166571954;2.24454559647e-07;0.00037327828306;0.000125547893768;0.000405596868716
Streptococcus pseudopneumoniae;9.54027853368e-06;0.000190778118743;0.000516752800682;1.51553568024e-06;0.00083605073078;1.59213106808e-05;2.06373563706e-05;2.83279041988e-07;0.000110314095429;2.08485913843e-05;0.0167997645217;3.44094700983e-06;6.29019748091e-06;4.43451635729e-06;0.000693454289425;4.31594306188e-05;2.15662723571e-13
Streptococcus pneumoniae;6.23315430258e-06;1.83100897174e-05;1.76341410162e-05;1.82824056577e-05;0.000105019637829;2.49986522763e-06;3.35119398401e-07;5.47340247265e-05;6.48622648715e-06;1.49077348091e-06;0.00123299012852;1.71000071882e-05;6.96958151357e-05;2.07745880686e-06;5.25128200962e-05;1.08744378244e-05;8.49810712467e-09
Shigella sonnei;4.84152977969e-06;0.0568580548392;0.168265440053;5.95142002835e-05;1.66916658312e-06;1.46548107286e-12;0.00507906905298;2.77199040473e-06;;0.00632534564435;1.4572540486e-22;0.0153869769638;0.0128033489339;;0.00936895873004;0.049592753706;0.0643079393376
Bifidobacterium longum;3.66662406699e-06;0.000544400963613;0.000302457564709;1.47910169384e-06;6.77955417156e-06;0.00143781298053;1.30501066073e-07;2.62662551769e-05;3.98260786001e-05;0.00182715308192;0.0006770305828;9.6037715228e-06;0.00129992679962;9.80469887203e-07;7.17892809463e-05;1.19395112365e-06;0.000194633115937
Escherichia coli;2.58109512651e-06;0.363545495381;0.710537978372;0.000454293750954;0.00206981939074;4.79377411586e-05;0.0840167679373;5.59137629189e-05;1.0556907734e-06;0.0196117328231;4.74347526286e-06;0.276160800507;0.35087917229;1.83561070635e-06;0.122269653455;0.777991966249;0.855767143032
Veillonella parvula;2.39755539512e-06;2.1117949672e-05;1.98969235128e-05;3.66728960482e-21;0.0021836725434;1.47888700671e-07;5.52718178466e-11;2.5565807697e-05;5.91635952517e-08;2.77924610006e-10;3.16912169728e-06;3.21908023802e-05;6.96906847514e-06;1.28015094506e-08;2.54959521533e-07;0.00348828171709;3.57957243481e-05
Parabacteroides distasonis;2.39717233154e-06;0.000450964506971;8.23529648086e-05;0.11619046553;2.19824676268e-05;0.238750286346;0.000744765308944;0.297697618385;0.0167814068457;0.00721639652546;3.95859876286e-07;0.531815410993;0.143960700136;0.00688312518703;0.00807698993412;5.15904232419e-05;0.000143889454222
Bifidobacterium pseudocatenulatum;1.54065384302e-06;0.000235351122045;0.0023120977379;0.0331328675546;5.72877747544e-06;7.64814987873e-05;0.000390718077304;0.00137221759876;0.0014740270151;0.0145581278839;2.50001302457e-05;1.08802107971e-06;4.68339366576e-05;4.66455453858e-06;4.96420653655e-06;8.39005465864e-05;1.22380878811e-06
[Eubacterium] eligens;7.94396627759e-07;9.89440271229e-06;0.00021831716079;5.81692456532e-07;1.32178309256e-05;1.88923800917e-06;2.10991634128e-06;6.15097164481e-06;5.83767524944e-07;2.45540870087e-07;3.20981564558e-18;5.52484987337e-07;0.000624120280927;8.80514440175e-07;8.47742501198e-06;1.58013618011e-06;6.34646930598e-06
Bifidobacterium adolescentis;5.20897490763e-07;0.0322249536477;2.90284226316e-05;0.000178031193688;1.19719518922e-05;0.00636543782206;0.000126314199516;0.00143214033987;2.84027497414e-05;0.0036984278049;3.8109798625e-05;5.30155497366e-06;0.0880356080907;1.82675819159e-06;1.17874526033e-05;7.99991520442e-06;0.000541759736975
Bifidobacterium catenulatum;4.26692001898e-07;9.13621777349e-05;0.00108742165464;0.000562426286907;1.58151742894e-06;0.000300316375686;0.00687321116665;0.19326419191;1.9415370658e-06;0.000181370505992;0.00209686799011;4.93406582119e-06;0.00346870661871;1.10759122673e-07;4.4892370687e-06;8.45461739156e-07;9.17781285483e-06
Haemophilus parainfluenzae;3.33458123786e-07;1.44506993265e-06;6.0135914231e-28;1.59157107338e-05;0.216066674774;2.33806517151e-14;4.45723926003e-07;3.71090010564e-08;1.98188640269e-09;1.23255710383e-10;8.61307380001e-08;1.17188979923e-06;2.23184364639e-12;;4.16349011393e-07;6.65403071244e-07;1.10644430452e-06
[Eubacterium] rectale;2.19288183702e-07;7.64804378047e-05;0.000118741129845;1.41859813875e-06;3.83036474846e-06;0.000116315338428;1.93096440474e-06;1.34900782091e-05;4.57710896008e-06;7.62324594089e-05;2.23795286898e-06;1.36170738187e-05;0.000126272710378;1.33266550542e-06;3.16493250463e-05;1.21222010614e-05;1.14475477056e-05
Bifidobacterium bifidum;1.22046288873e-07;0.0131765170962;0.00326392209456;2.60498086554e-05;1.94238134404e-05;0.00617880233207;2.32088234953e-07;0.000110428962633;1.43552687975e-06;3.34769652342e-05;1.09298890138e-06;1.51404475262e-06;0.00778849747725;2.08779533595e-08;2.20749758267e-07;5.30778136095e-05;1.65037591708e-06
Streptococcus salivarius;3.92713611014e-09;0.000533730807289;0.000811409029913;0.0358262497891;0.0592604556993;0.000522505954536;0.000189854497467;0.000478414201032;8.11137105976e-06;4.63976164938e-07;0.000833174816505;0.000308982239003;0.000761280932476;1.56622173751e-07;4.25495331768e-05;0.00439843555673;1.79250959253e-08
Shigella flexneri;2.23261668249e-15;0.0241023789363;0.0132673701401;1.67779936796e-06;4.54011362069e-05;3.38542704866e-06;0.00967950801826;1.43298069467e-06;6.92186135654e-08;0.00181584873059;1.40186939884e-07;0.0451536791767;0.00112273893686;;0.00361673192853;0.00833594069564;0.0176558928672
Staphylococcus capitis;2.97847923555e-26;0.00010535138292;1.75371487914e-12;6.19515021016e-06;0.00183602833601;1.02782118777e-06;5.06389240022e-06;1.12570131403e-06;5.24916591346e-06;7.49006590376e-16;0.000238513997298;9.75956719951e-07;8.94827270184e-12;;5.93393769469e-06;0.000921093904081;1.27242950866e-41
Salmonella enterica;7.65506663214e-28;0.000128919661638;0.00425031441759;0.00085171522298;0.00468290869499;9.31741331869e-05;3.04690747087e-11;1.65444351883e-12;;2.06945717481e-05;1.89716862932e-08;1.31037108736e-07;7.19681090271e-06;;7.74466468928e-05;2.64224502934e-05;0.000230068972185
Staphylococcus saprophyticus;1.06530227226e-28;1.09781999754e-29;2.13636096506e-11;2.64062818837e-10;7.63411080056e-06;1.34689916342e-18;3.63360897348e-17;7.26631650839e-08;3.63782808862e-16;5.57158646431e-15;5.06448322474e-17;7.56749251446e-07;7.00047622394e-21;;6.6195206236e-39;1.6669344335e-08;8.58921605137e-32
Staphylococcus aureus;4.23389559014e-31;4.67939418218e-09;8.01376959353e-05;1.22360186723e-27;8.81542941609e-08;8.8052217108e-06;0.000182937011971;1.91435673379e-05;8.32700743953e-27;0.000190189564426;0.00110078567635;2.52211461739e-24;1.2920566021e-27;;6.44702698868e-29;9.43240125682e-07;7.14537725217e-07
Staphylococcus lugdunensis;9.44710340041e-32;5.10332069886e-05;8.16705642411e-05;0.000112623063195;0.0240672820032;8.56386013287e-07;0.000159752668777;6.76163948332e-15;0.000480377685596;1.50309184093e-05;0.0959047468573;6.6972440691e-07;5.13682708468e-06;;4.2438032603e-07;0.00154908148244;5.88144502806e-06
