;ERR525715;ERR525719;ERR525724;ERR525728;ERR525732
Bacteroides dorei;0.000117151614266;0.000226279212261;0.0131636703117;0.000342789220361;0.0184865054029
Bacteroides fragilis;0.000280198346675;0.795466161803;0.93820478141;0.000439400941715;0.0452952308739
Bacteroides ovatus;1.6440242891e-05;0.000262406492291;0.000776698880315;0.00025321080999;0.0195606978477
Bacteroides thetaiotaomicron;3.95640585961e-05;0.0119970160112;0.0083247007322;0.000572635515746;0.0457065468815
Bacteroides vulgatus;0.000225093542261;0.00320659148521;0.0252011137028;0.00260122142282;0.246823826719
Bifidobacterium adolescentis;9.60504636924e-06;2.3705303767e-05;4.21274570924e-06;0.000355029137633;0.171211858609
Bifidobacterium bifidum;5.19046537819e-05;5.20447261872e-07;8.03131024261e-08;5.68610336404e-06;0.0112930101171
Bifidobacterium breve;0.000128661432353;0.000551548237816;1.58411062663e-06;0.000364656576721;0.000818365801237
Bifidobacterium longum;6.61306056361e-06;0.000922490816076;1.64879700438e-05;0.00154832918466;0.0238598916073
Enterococcus faecalis;0.0105490328425;0.0544553088214;0.000541561898946;3.92225509258e-14;8.38111605609e-06
Escherichia coli;0.668039848231;0.049033880244;1.38578238897e-07;0.748994917587;0.0909385206866
Parabacteroides distasonis;4.24633999876e-05;0.00668522268427;0.0137371501189;0.000113891281853;0.152160623274
Shigella boydii;0.063902696941;0.029302274156;6.19021508814e-07;0.0733873267627;0.0592554057946
Shigella dysenteriae;0.0417569875173;0.00538074335177;2.94796711852e-07;0.0386168181093;0.00814564301539
Shigella flexneri;0.0655943275005;0.0159550041767;9.32723186125e-07;0.0551660143898;0.033322120713
Shigella sonnei;0.0709293296906;0.0251139809441;4.06163256341e-08;0.0771920954819;0.0683617602358
Staphylococcus capitis;0.000686470294855;1.06499069385e-05;9.98597223361e-17;1.03449260879e-29;9.68291442649e-06
Staphylococcus epidermidis;0.0714469105441;0.000902563408592;1.7462261935e-05;9.69827129874e-06;0.00352072335585
Staphylococcus lugdunensis;0.00147799798516;1.05106302027e-06;2.94715935358e-07;7.3077633212e-06;2.17013565832e-05
Streptococcus pseudopneumoniae;2.29984588669e-05;0.00042776359887;7.83144291494e-06;3.08810380056e-10;1.67381444277e-05
Streptococcus salivarius;0.00242509307106;7.4410589663e-05;3.19095606388e-07;6.37697338112e-07;0.00117161052151
Veillonella parvula;0.00225061152484;4.27246309497e-07;2.4553562551e-08;2.83334337569e-05;1.11550117178e-05
