25715/npy;25719/npy;25724/npy;25728/npy;25732/npy;25736/npy;25740/npy;25745/npy;25749/npy;25752/npy;25756/npy;25758/npy;25762/npy;25766/npy;25770/npy;25774/npy;25778/npy;Name
;;;;;;;;;;1.78561803221;1.90353713995;;;1.60935293164;1.66552121583;;Bacteroides dorei
;1.70966225697;1.91251251331;;;;1.27879444448;;;1.45465203533;;1.62177301204;1.71329552625;;;1.47695865565;1.27028765248;Bacteroides fragilis
;;;;1.73795949167;;;;1.28168823066;;1.93099360106;1.39288523662;1.39503474288;;1.30445485529;;;Bacteroides ovatus
;;;;1.4326634717;;;;;;;;1.51156621393;;;;;Bacteroides thetaiotaomicron
;;;1.5706038939;1.48667642865;1.12024934897;;;;;1.53018674681;;1.46647414328;;;;;Bacteroides vulgatus
;;;1.29176469927;1.16037419988;;;;;;;1.28379746931;;;;;;Bifidobacterium adolescentis
;;;;1.30235954789;;;;1.37598213311;;;;1.37795941686;;;1.15179214138;;Bifidobacterium bifidum
;1.15636791917;;1.11893781326;;;;;;;;;;;;;;Bifidobacterium breve
;;;;;1.44270849569;;;;;;;1.18583884232;1.13750828552;;;;Bifidobacterium catenulatum
;1.28265371752;;;1.44692757614;;;;1.42207089008;;1.21695301306;1.4084362504;;1.14348725529;;1.39344139729;;Bifidobacterium longum
;;;;;;;1.18288776541;;1.20029433525;1.31400869356;;;;;;;Bifidobacterium pseudocatenulatum
1.32694831186;1.20610535061;;;;1.11190538296;1.45312108004;;;;1.23289361845;1.2780401213;;1.10704347023;;1.27856970451;;Enterococcus faecalis
1.2119785614;1.36299361217;;1.28417545202;1.40342877849;1.3032848437;;1.606784232;;;;1.12560700825;;;1.18991429105;1.31211184171;;Escherichia coli
;;;;;;1.14310890033;;;;;;;;;;;Haemophilus parainfluenzae
;1.59658649829;;;1.29943941586;;;;1.17319053918;1.18827863147;1.71683589847;1.28867889401;1.31123706507;;1.44812470086;;;Parabacteroides distasonis
1.61537881519;;;1.75747246839;;2.25064421111;;1.52540411744;;;;1.46074881851;;;2.14667604245;1.82909074522;;Shigella dysenteriae
;;;;;1.38132921651;;;;;;;;;;1.11292146093;;Shigella flexneri
2.12057146017;1.65949090976;;1.65840366128;;;;1.92285483996;;;;1.62807023672;;;;1.56703219923;;Shigella sonnei
;;;;;;;;;;;;;1.39098245211;;;;Staphylococcus aureus
1.13916036313;;;;;;;;;;;;;;;;;Staphylococcus capitis
;1.18613056677;;;1.23105744359;1.31008768541;1.18658165729;1.30806427724;1.14939189062;;1.16488784398;1.16797018561;1.15783361392;1.19679635283;1.45482311288;;;Staphylococcus epidermidis
1.19109677036;;;;;;1.33232998371;;;;;;;1.22161352542;;;;Staphylococcus lugdunensis
;;;;1.37715752581;;1.16785973718;;;;;;;;;1.10467033892;;Streptococcus pneumoniae
;;;;;;1.30172073705;;;;;;;;;1.18047064774;;Streptococcus pseudopneumoniae
1.66157038659;1.28994190662;;;1.62680927165;1.46669766928;1.60314350009;;1.71928809913;1.63041769616;;;1.89051106631;1.75828912656;1.43536601659;1.4486369966;;Streptococcus salivarius
1.17965190726;;;;;;1.27920360216;;;;;;;;1.24208843779;;;Veillonella parvula
