DoriC AC	RefSeq	Organsim	Taxonomy	Genome Length	oriC location	dnaA box number	dnaA location	The extremes of GC disparity
ORI10010001	NC_000908.1	Mycoplasma genitalium G37	Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	580076 nt	578582..579223 nt	3	577268..578581 nt	780 nt (minimum), 294968 nt (maximum)
ORI10010002	NC_000915.1	Helicobacter pylori 26695	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter.	1667867 nt	1608998..1609149 nt	3	1607624..1608997 nt	1635529 nt (minimum), 814087 nt (maximum)
ORI10010003	NC_000919.1	Treponema pallidum subsp. pallidum str. Nichols	Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema.	1138011 nt	1399..1640 nt	3	4..1398 nt	2066 nt (minimum), 557777 nt (maximum)
ORI10010004	NC_000921.1	Helicobacter pylori J99	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter.	1643831 nt	1559163..1559314 nt	3	1557789..1559162 nt	1556599 nt (minimum), 686803 nt (maximum)
ORI10010005	NC_000964.1	Bacillus subtilis subsp. subtilis str. 168	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4214630 nt	1751..1938 nt	3	410..1750 nt	4214620 nt (minimum), 1941646 nt (maximum)
ORI10010006	NC_000964.1	Bacillus subtilis subsp. subtilis str. 168	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4214630 nt	4214414..409 nt	8	410..1750 nt	4214620 nt (minimum), 1941646 nt (maximum)
ORI10010007	NC_001263.1	Deinococcus radiodurans R1 chromosome 1	Bacteria, Deinococcus-Thermus, Deinococci, Deinococcales, Deinococcaceae, Deinococcus.	2648638 nt	1183..1903 nt	13	1904..3268 nt	2475800 nt (minimum), 1618526 nt (maximum)
ORI10010008	NC_002163.1	Campylobacter jejuni subsp. jejuni NCTC 11168	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter.	1641481 nt	1324..1482 nt	3	1..1323 nt	1641389 nt (minimum), 814405 nt (maximum)
ORI10010009	NC_002488.1	Xylella fastidiosa 9a5c	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xylella.	2679306 nt	1463..1758 nt	3	143..1462 nt	1892 nt (minimum), 1784812 nt (maximum)
ORI10010010	NC_002516.1	Pseudomonas aeruginosa PAO1	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	6264403 nt	6264361..482 nt	5	483..2027 nt	6242446 nt (minimum), 2428794 nt (maximum)
ORI10010011	NC_002570.1	Bacillus halodurans C-125	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4202352 nt	4202339..583 nt	9	584..1933 nt	2185 nt (minimum), 2242483 nt (maximum)
ORI10010012	NC_002662.1	Lactococcus lactis subsp. lactis Il1403	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Lactococcus.	2365589 nt	1726..1881 nt	3	358..1725 nt	64 nt (minimum), 1264272 nt (maximum)
ORI10010013	NC_002677.1	Mycobacterium leprae TN	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium.	3268203 nt	1567..2080 nt	3	1..1566 nt	1966 nt (minimum), 1707651 nt (maximum)
