ACC Origin
NC_002162.1 148927
NC_000907.1 603005
NC_000913.3 3925553
NC_002163.1 1324
NC_000964.3 4215104
NC_002528.1 640442
NC_002655.2 4787978
NC_002516.2 1
NC_002662.1 114
NC_002570.2 1
NC_002663.1 1677118
NC_002737.2 1
NC_002695.1 4718997
NC_002745.2 1
NC_002758.2 1
NC_002937.3 2349232
NC_002946.2 1160130
NC_002947.4 8154
NC_002951.2 1
NC_002940.2 1
NC_002950.2 2342805
NC_003028.3 1
NC_002953.3 1
NC_002976.3 1
NC_002952.2 1
NC_003098.1 2038404
NC_003112.2 2258307
NC_003116.1 219873
NC_003143.1 1
NC_003198.1 3765040
NC_003228.3 5125501
NC_003030.1 1
NC_003197.1 4083788
NC_003454.1 641869
NC_003485.1 20760
NC_003909.8 1
NC_003366.1 3030810
NC_003902.1 1371
NC_003912.7 1324
NC_004061.1 641022
NC_004070.1 1
NC_003919.1 1371
NC_004116.1 19989
NC_003997.3 1
NC_004307.2 1623528
NC_003923.1 1
NC_004129.6 7074073
NC_004337.2 3932820
NC_004350.2 20566
NC_004088.1 4600396
NC_004344.2 681468
NC_004368.1 20061
NC_004545.1 1
NC_004461.1 2498903
NC_004557.1 52254
NC_004431.1 4426586
NC_004567.2 3307774
NC_004547.2 5063660
NC_004606.1 1
NC_004631.1 3750531
NC_004578.1 6396089
NC_004663.1 3325954
NC_004668.1 3217568
NC_005061.1 704749
NC_004741.1 3840015
NC_004722.1 5411317
NC_005362.1 1992003
NC_005126.1 44490
NC_005810.1 4594706
NC_005773.3 5926137
NC_005945.1 1
NC_005957.1 1
NC_006177.1 3565701
NC_006085.1 1748
NC_006086.1 21850
NC_006274.1 1
NC_006270.3 1
NC_006448.1 1551
NC_006322.1 4222317
NC_006347.1 5192589
NC_006449.1 1551
NC_006582.1 4303524
NC_006814.3 1993115
NC_006511.1 3858807
NC_006834.1 2752
NC_007146.2 703744
NC_006905.1 4018843
NC_007005.1 6093115
NC_007086.1 1371
NC_007292.1 790626
NC_007168.1 1
NC_007296.1 20764
NC_007297.2 1
NC_007350.1 1
NC_007432.1 19984
NC_007492.2 1
NC_007384.1 4086380
NC_007576.1 1884300
NC_007508.1 1330
NC_007530.2 1
NC_007519.1 73614
NC_007606.1 3740583
NC_007681.1 ti|2317|gi|84488831|ref|NC_007681.1|
NC_007622.1 1
NC_007613.1 3763785
NC_007705.1 2748
NC_007793.1 1
NC_007779.1 3710670
NC_007929.1 1826070
NC_007907.1 5727180
NC_007712.1 4127547
NC_007946.1 4186421
NC_008021.1 20764
NC_008054.1 1864657
NC_008253.1 4109342
NC_008150.1 1
NC_008261.1 3256064
NC_008149.1 1
NC_008497.1 2290796
NC_008258.1 3858219
NC_008346.1 420967
NC_008513.1 350288
NC_008527.1 2433636
NC_008463.1 1
NC_008526.1 2894537
NC_008529.1 1856391
NC_008531.1 2037788
NC_008530.1 1893820
NC_008532.1 1466
NC_008533.1 2045904
NC_008599.1 1773442
NC_008593.1 1
NC_008570.1 4729112
NC_008563.1 4219218
NC_008600.1 1
NC_008618.1 1501
NC_008767.1 2166883
NC_008782.1 6234
NC_008751.1 11114
NC_008752.1 27627
NC_008787.1 43323
NC_008800.1 1
NC_009009.1 1
NC_009004.1 2529177
NC_009012.1 2833588
NC_009053.1 1883252
NC_009089.1 4289595
NC_009348.1 4666333
NC_009253.1 1
NC_009381.1 4483111
NC_009454.1 3024795
NC_009439.1 5072365
NC_009434.1 1
NC_009436.1 4487049
NC_009512.1 5958961
NC_009495.1 3885841
NC_009515.1 ti|2173|gi|148642060|ref|NC_009515.1|
NC_009513.1 1
NC_009566.1 11048
NC_009615.1 146065
NC_009617.1 1
NC_009614.1 343837
NC_009633.1 4928949
NC_009648.1 4496569
NC_009655.1 379950
NC_009674.1 1
NC_009697.1 3862375
NC_009698.1 3759485
NC_009656.1 1
NC_009699.1 3994313
NC_009707.1 45297
NC_009706.1 3964006
NC_009708.1 4722947
NC_009714.1 57320
NC_009715.1 1784700
NC_009725.1 3918091
NC_009785.1 2174325
NC_009778.1 3960616
NC_009802.1 1833282
NC_009792.1 77514
NC_009839.1 1324
NC_009832.1 5445749
NC_009850.1 2341023
NC_009848.4 3704022
NC_009922.1 3122997
NC_010080.1 2080153
NC_010002.1 26889
NC_010102.1 4028361
NC_010120.1 1005243
NC_010067.1 3711019
NC_010278.1 1846236
NC_010159.1 1
NC_010001.1 4846882
NC_010337.2 3033300
NC_010376.1 1
NC_010322.1 1
NC_010184.1 5262107
NC_010380.1 1
NC_010471.1 1
NC_010503.1 148957
NC_010465.1 4655153
NC_010516.1 3957196
NC_010424.1 146162
NC_010501.1 5773340
NC_010520.1 3991845
NC_010582.1 1
NC_010609.1 2038920
NC_010554.1 3445098
NC_010610.1 2097822
NC_010617.1 1696
NC_010655.1 958547
NC_010634.1 4661327
NC_010658.1 3904293
NC_010674.1 3799771
NC_010688.1 1330
NC_010729.1 2354214
NC_010717.2 2752
NC_010723.1 3659039
NC_010999.1 3078470
NC_010816.1 1665195
NC_010943.1 1333
NC_010939.1 1909969
NC_011035.1 1627675
NC_011072.1 1
NC_011071.1 2924
NC_011134.1 1
NC_011374.1 102547
NC_011080.1 4050053
NC_011658.1 1
NC_011283.1 5640637
NC_011593.1 1713
NC_011725.1 1
NC_011740.1 4146451
NC_011769.1 4039738
NC_011772.1 5386805
NC_011770.1 1
NC_011833.1 641883
NC_011773.1 1
NC_011834.1 641656
NC_011830.1 5278872
NC_011883.1 2221
NC_011835.1 1917
NC_011852.1 1502779
NC_011837.1 3895509
NC_011900.1 1
NC_011992.1 26604
NC_011969.1 1
NC_011898.1 4068223
NC_012039.1 1409322
NC_012121.1 2565870
NC_012004.1 1852119
NC_012466.1 1
NC_011999.1 2101963
NC_012225.1 2057021
NC_012471.1 2253562
NC_012470.1 2149635
NC_012659.1 5226951
NC_012560.1 5365065
NC_012581.1 5229621
NC_012660.1 6721956
NC_012731.1 5214063
NC_012778.1 2143678
NC_012781.1 3449249
NC_012796.1 3485667
NC_012814.1 1886
NC_012803.1 1804
NC_012815.1 1886
NC_012891.1 1
NC_012779.2 3780710
NC_012913.1 1970764
NC_012881.1 4233400
NC_012917.1 4807536
NC_012925.1 2007290
NC_012924.1 2095697
NC_013016.1 1496368
NC_012962.1 41092
NC_012926.1 2146026
NC_013162.1 991415
NC_013165.1 974665
NC_012984.1 3197260
NC_013171.1 1882620
NC_013204.1 2869
NC_013315.1 4109897
NC_013216.1 3751697
NC_013504.1 1755320
NC_013421.1 4981319
NC_013282.2 4384101
NC_013446.2 34428
NC_013520.1 2131551
NC_013508.1 3728199
NC_013714.1 1504
NC_013656.1 331
NC_013721.1 53436
NC_013715.1 2264035
NC_013716.1 4232914
NC_013592.1 4747164
NC_013790.1 ti|83816|gi|288559258|ref|NC_013790.1|
NC_013722.1 1569
NC_013740.1 1195
NC_013798.1 21986
NC_013850.1 2430
NC_013791.2 1
NC_013892.1 36292
NC_013893.1 2624780
NC_013853.1 2146400
NC_013928.1 20576
NC_013961.1 3774133
NC_013895.2 1411
NC_014019.1 5096376
NC_013956.2 18636
NC_014033.1 3065736
NC_014029.1 1
NC_014109.1 193334
NC_014039.1 1744
NC_014106.1 2042720
NC_014121.1 5286982
NC_014136.1 592833
NC_014103.1 5096694
NC_014166.1 3084336
NC_014150.1 1596291
NC_014152.1 3156874
NC_014169.1 1713
NC_014171.1 5329596
NC_014220.1 748049
NC_014246.1 809788
NC_014215.1 10426
NC_014319.1 1953635
NC_014330.1 1342563
NC_014228.1 38293
NC_014363.1 163348
NC_014375.1 2981465
NC_014334.2 2861050
NC_014328.1 4629569
NC_014500.1 4922455
NC_014479.1 4027181
NC_014376.1 4662490
NC_014393.1 5261796
NC_014551.1 3979706
NC_014562.1 3437393
NC_014554.1 3253875
NC_014614.1 2715054
NC_014638.1 1591
NC_014618.1 4775552
NC_014616.1 1591
NC_014643.1 955626
NC_014639.1 3628246
NC_014656.1 1639526
NC_014624.2 458
NC_014644.1 140768
NC_014724.1 2067269
